City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,8.12,80,0,3.48,AU,1719953397
1,adamstown,-25.066,-130.1015,20.11,58,48,8.07,PN,1719953399
2,bethel,41.3712,-73.414,28.85,50,0,2.57,US,1719953339
3,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.54,GF,1719953208
4,arraial do cabo,-22.9661,-42.0278,22.92,78,40,3.6,BR,1719953183
5,port-aux-francais,-49.35,70.2167,0.92,54,61,10.08,TF,1719953406
6,tiksi,71.6872,128.8694,4.41,73,72,3.1,RU,1719953407
7,aasiaat,68.7098,-52.8699,2.66,94,91,0.54,GL,1719953453
8,west island,-12.1568,96.8225,26.99,83,75,11.83,CC,1719953454
9,shimoda,34.6667,138.95,24.5,91,100,4.3,JP,1719953455
10,iqaluit,63.7506,-68.5145,7.85,75,20,4.12,CA,1719953342
11,invercargill,-46.4,168.35,3.9,97,100,1.34,NZ,1719953457
12,bilibino,68.0546,166.4372,9.58,91,100,1.48,RU,1719953458
13,wailua homesteads,22.0669,-159.378,26.74,71,20,6.17,US,1719953460
14,newman,37.3138,-121.0208,38.19,8,0,5.64,US,1719953461
15,hermanus,-34.4187,19.2345,13.59,80,94,3.16,ZA,1719953462
16,yellowknife,62.456,-114.3525,21.9,48,75,6.69,CA,1719953463
17,namibe,-15.1961,12.1522,17.12,79,6,3.27,AO,1719953464
18,waitangi,-43.9535,-176.5597,9.34,96,96,7.15,NZ,1719953465
19,hasaki,35.7333,140.8333,24.22,90,95,5.78,JP,1719953467
20,hammerfest,70.6634,23.6821,8.25,93,75,3.6,NO,1719953468
21,hawaiian paradise park,19.5933,-154.9731,27.07,72,75,1.54,US,1719953469
22,barra de santo antonio,-9.4047,-35.5072,24.6,77,0,4.78,BR,1719953470
23,hualien city,23.9769,121.6044,26.14,85,6,2.33,TW,1719953471
24,klyuchi,52.2667,79.1667,15.97,73,36,2.52,RU,1719953473
25,punta arenas,-53.15,-70.9167,1.06,75,75,7.2,CL,1719953221
26,careiro da varzea,-3.2003,-59.8119,31.35,58,100,0.85,BR,1719953470
27,palmer,42.1584,-72.3287,29.65,33,40,0.89,US,1719953476
28,minas de marcona,-15.2119,-75.1103,16.12,62,0,5.15,PE,1719953477
29,pangody,65.85,74.4859,9.36,63,12,4.01,RU,1719953479
30,isiolo,0.3546,37.5822,20.76,62,24,6.88,KE,1719953480
31,dunedin,-45.8742,170.5036,5.45,95,100,0.89,NZ,1719953260
32,la passe,45.5549,-0.8967,18.13,82,100,5.12,FR,1719953482
33,qacha's nek,-30.1154,28.6894,6.46,53,17,2.84,LS,1719953484
34,whitehorse,60.7161,-135.0538,17.43,46,75,1.79,CA,1719953485
35,regeneracao,-6.2378,-42.6883,29.6,35,12,2.53,BR,1719953486
36,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,1719953487
37,kokstad,-30.5472,29.4241,10.23,45,2,2.03,ZA,1719953361
38,nema,57.5067,50.5011,18.61,91,100,2.53,RU,1719953489
39,edinburgh of the seven seas,-37.0676,-12.3116,14.86,81,66,14.6,SH,1719953491
40,toccoa,34.5773,-83.3324,31.08,39,0,2.06,US,1719953353
41,howard springs,-12.497,131.047,20.55,77,34,4.37,AU,1719953494
42,ushuaia,-54.8,-68.3,-0.19,74,0,2.06,AR,1719953098
43,rongelap,11.1635,166.8941,28.04,80,100,8.13,MH,1719953497
44,alice springs,-23.7,133.8833,-2.25,100,75,0.0,AU,1719953498
45,beaufort west,-32.3567,22.583,11.56,46,27,1.19,ZA,1719953500
46,peniche,39.3558,-9.3811,20.16,90,0,7.29,PT,1719953501
47,niamey,13.5137,2.1098,25.16,88,20,7.2,NE,1719953502
48,pariyapuram,10.9561,76.1916,26.16,96,100,0.18,IN,1719953503
49,longyearbyen,78.2186,15.6401,11.91,58,0,3.09,SJ,1719953504
50,janauba,-15.8025,-43.3089,26.69,35,30,6.77,BR,1719953506
51,utrik,11.2278,169.8474,27.75,80,93,8.65,MH,1719953507
52,albany,42.6001,-73.9662,28.27,42,75,0.71,US,1719953391
53,vilyuchinsk,52.9306,158.4028,10.15,96,100,3.44,RU,1719953509
54,oban,56.4127,-5.4706,10.21,88,100,3.1,GB,1719953510
55,chesapeake ranch estates,38.3462,-76.4177,29.38,46,40,3.09,US,1719953511
56,bikenibeu village,1.3673,173.1241,28.98,89,40,5.14,KI,1719953513
57,amga,60.8953,131.9608,20.99,74,46,1.09,RU,1719953514
58,magadan,59.5667,150.8,11.94,74,77,0.64,RU,1719953515
59,cooper's town,26.8667,-77.5167,28.81,77,7,5.61,BS,1719953516
60,bakhchysarai,44.75,33.8667,23.35,40,14,2.34,UA,1719953517
61,puerto baquerizo moreno,-0.9,-89.6,24.55,88,75,3.6,EC,1719953518
62,qaqortoq,60.7167,-46.0333,3.79,87,59,4.09,GL,1719953520
63,grytviken,-54.2811,-36.5092,-4.31,76,29,0.41,GS,1719953521
64,selfoss,63.9331,-20.9971,11.14,90,99,0.92,IS,1719953522
65,praia,14.9215,-23.5087,25.3,73,75,5.14,CV,1719953523
66,blackmans bay,-43.0167,147.3167,2.51,89,0,2.22,AU,1719953524
67,walvis bay,-22.9575,14.5053,13.38,94,0,1.03,NA,1719953525
68,kodiak,57.79,-152.4072,8.73,100,100,3.6,US,1719953527
69,patterson,37.4716,-121.1297,37.86,8,0,5.27,US,1719953528
70,georgetown,5.4112,100.3354,25.97,78,20,1.03,MY,1719953416
71,northam,51.0333,-4.2167,14.1,88,100,3.15,GB,1719953530
72,jamestown,42.097,-79.2353,27.23,42,0,3.13,US,1719953532
73,yeniseysk,58.4497,92.1703,16.47,74,96,1.5,RU,1719953533
74,bredasdorp,-34.5322,20.0403,11.13,88,100,1.75,ZA,1719953534
75,mount gambier,-37.8333,140.7667,1.75,91,2,1.99,AU,1719953535
